term,tf,df
segment,946,711
scroll,817,631
use,798,665
ink,696,520
data,624,499
look,588,525
work,540,472
think,533,500
imag,472,350
fragment,444,376
tri,386,353
make,372,352
surfac,356,251
know,349,323
letter,344,291
papyrus,319,256
model,309,247
slice,288,204
good,283,272
right,282,267
detect,273,235
layer,267,206
need,265,244
time,264,243
mayb,260,251
way,255,234
train,254,219
thank,246,237
yes,235,231
sheet,232,169
differ,229,205
volum,228,178
want,227,210
line,225,192
point,225,181
thing,220,205
sure,217,215
scan,216,172
help,210,198
text,204,174
file,204,155
probabl,203,186
read,200,178
bit,197,182
interest,193,189
run,187,169
actual,180,172
lot,180,172
peopl,180,162
better,175,164
question,173,157
algorithm,173,149
say,171,169
kaggl,165,144
3d,165,140
process,164,136
mean,163,156
doe,162,153
label,153,118
new,152,141
region,149,130
idea,148,142
result,147,139
area,145,132
tif,145,109
flatten,145,108
problem,143,131
set,143,130
start,141,134
tool,141,123
size,138,128
valu,138,53
did,134,128
vc,134,125
code,134,115
word,133,117
mesh,132,98
pretti,130,126
end,130,118
signal,129,101
pixel,129,98
possibl,127,119
go,125,121
oh,124,124
abl,123,119
mask,123,83
direct,121,107
open,119,110
origin,119,89
similar,118,115
post,118,112
come,116,110
great,114,112
hard,114,112
nice,114,110
section,114,96
issu,112,97
quit,111,110
challeng,111,101
kind,110,105
case,109,105
textur,109,77
follow,107,100
clear,107,99
resolut,107,83
carbon,107,78
test,106,88
get,105,103
guess,105,100
charact,105,88
let,104,100
approach,104,96
project,104,92
hope,103,99
best,103,97
prize,102,92
cool,101,96
stuff,101,96
current,101,93
got,100,99
method,100,88
download,100,83
edg,100,79
thought,99,98
greek,99,88
crackl,99,80
general,98,95
exampl,98,94
normal,98,80
learn,97,89
share,96,92
do,95,89
space,95,87
wonder,93,91
sourc,93,88
place,92,85
like,92,84
sampl,92,72
high,91,89
small,91,87
load,91,77
far,90,89
paper,90,79
sens,88,86
understand,88,85
left,88,84
base,87,81
check,86,83
write,86,83
featur,86,77
exact,85,85
big,85,84
team,83,76
long,81,81
correct,80,76
improv,79,77
experi,79,76
generat,79,75
littl,79,75
comput,78,69
dataset,77,73
ask,76,74
creat,76,71
view,76,71
feel,75,75
lol,75,74
visual,75,69
page,75,68
output,75,59
here,74,74
hari,74,73
server,74,71
have,74,68
local,74,65
2d,74,64
tell,73,72
didn't,73,71
ct,73,65
progress,72,71
reason,72,70
pattern,72,69
separ,72,69
inform,72,68
number,72,67
vertic,72,62
quick,71,69
upload,71,67
ray,71,63
entri,71,9
hi,70,70
day,70,66
link,70,65
ml,70,65
visibl,70,65
axi,70,55
fiber,70,53
believ,69,67
easi,69,67
miss,69,67
import,69,61
